c_ClaveProdServ,Descripción,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,FechaInicioVigencia,FechaFinVigencia,Estímulo Franja Fronteriza,Palabras similares
10151513,Semillas o plántulas de maíz,Opcional,Opcional,,43472,,1,Semillas o vástago primario de maíz
10151514,Semillas o plántulas de melón,Opcional,Opcional,,43472,,1,Semillas o vástago primario de melón
10151515,Semillas o plántulas cebolla,Opcional,Opcional,,43472,,1,Semillas o vástago primario de cebolla
10151516,Semillas o plántulas de soya,Opcional,Opcional,,43472,,1,Semillas o vástago primario de soya
10151517,Semillas o plántulas de espinaca,Opcional,Opcional,,43472,,1,Semillas o vástago primario de espinaca
10151518,Semillas o plántulas de tomate,Opcional,Opcional,,43472,,1,Semillas o vástago primario de tomate
10151519,Semillas o plántulas de nabo,Opcional,Opcional,,43472,,1,Semillas o vástago primario de nabo
10151520,Semillas o plántulas de acelga,Opcional,Opcional,,43472,,1,Semillas o vástago primario de acelga
10151521,Semillas o plántulas de pimiento morrón,Opcional,Opcional,,43472,,1,Semillas o vástago primario de pimiento morrón
10151522,Semillas o plántulas de remolacha,Opcional,Opcional,,43472,,1,Semillas o vástago primario de betabel
10151523,Semillas o plántulas de coliflor,Opcional,Opcional,,43472,,1,Semillas o vástago primario de coliflor
10151524,Semillas o plántulas de perejil,Opcional,Opcional,,43472,,1,Semillas o vástago primario de perejil
10151525,Semillas o plántulas de brócoli,Opcional,Opcional,,43472,,1,Semillas o vástago primario de brócoli
10151526,Semillas o plántulas de repollo,Opcional,Opcional,,43472,,1,Semillas o vástago primario de col
10151527,Semillas o plántulas de papa,Opcional,Opcional,,43472,,1,Semillas o vástago primario de patata
10151528,Semillas o plántulas de batata,Opcional,Opcional,,43472,,1,Semillas o vástago primario de camote
10151529,Semillas o plántulas de calabaza,Opcional,Opcional,,43472,,1,Semillas o vástago primario de calabaza
10151530,Semillas o plántulas de rábano,Opcional,Opcional,,43472,,1,"Semillas o vástago primario de rabanito, Semillas o vástago primario de rábano"
10151531,Semillas o plántulas de repollitos de bruselas,Opcional,Opcional,,43472,,1,Semillas o vástago primario de col de Bruselas
10151532,Semillas o plántulas de ahuyama,Opcional,Opcional,,43472,,1,Semillas o vástago primario de calabaza de castilla
10151533,Semillas o plántulas de okra,Opcional,Opcional,,43472,,1,Semillas o vástago primario de okra
10151534,Semillas o plántulas de melón cantalupo,Opcional,Opcional,,43472,,1,Semillas o vástago primario de melón cantalupo
10151535,Semillas o plántulas de maní,Opcional,Opcional,,43472,,1,Semillas o vástago primario de cacahuate
10151536,Semillas o plántulas de caigua,Opcional,Opcional,,43472,,1,Semillas o vástago primario de caigua
10151537,Semillas o plántulas de espárrago,Opcional,Opcional,,43472,,1,Semillas o vástago primario de espárrago
10151538,Semillas o plántulas de garbanzo,Opcional,Opcional,,43472,,1,Semillas o vástago primario de garbanzo
10151539,Semillas o plántulas de haba,Opcional,Opcional,,43472,,1,Semillas o vástago primario de haba
10151600,Semillas de cereales,Opcional,Opcional,,43472,,1,
10151601,Semillas de trigo,Opcional,Opcional,,43472,,1,
10151602,Semillas de canola,Opcional,Opcional,,43472,,1,Semillas de colza
10151603,Semillas de cebada,Opcional,Opcional,,43472,,1,
10151604,Semillas de mijo,Opcional,Opcional,,43472,,1,
10151605,Semillas de avena,Opcional,Opcional,,43472,,1,
10151606,Semillas de ajonjolí,Opcional,Opcional,,43472,,1,Semillas de sésamo
10151607,Semillas de linaza,Opcional,Opcional,,43472,,1,Semillas de lino
10151608,Semillas de aceite de ricino,Opcional,Opcional,,43472,,1,Semillas de ricino
10151609,Semillas de maíz,Opcional,Opcional,,43472,,1,
10151610,Semillas de centeno,Opcional,Opcional,,43472,,1,
10151611,Semillas de sorgo,Opcional,Opcional,,43472,,1,
10151612,Semillas o plántulas de kiwicha,Opcional,Opcional,,43472,,1,Semillas o vástagos de amaranto
10151613,Semillas o plántulas de quínoa,Opcional,Opcional,,43472,,1,Semillas o vástagos de quinua
10151700,Semillas y plántulas de hierba y forraje,Opcional,Opcional,,43472,,1,Semillas y vástagos de hierba y forraje
10151701,Semillas o plántulas de arroz,Opcional,Opcional,,43472,,1,
10151702,Semillas o plántulas de trébol,Opcional,Opcional,,43472,,1,
10151703,Semillas o plántulas de alfalfa,Opcional,Opcional,,43472,,1,
10151704,Semillas o plántulas de pasto,Opcional,Opcional,,43472,,1,Semillas o vástagos para césped
10151705,Semillas o plántulas de veza (gachas / guija),Opcional,Opcional,,43472,,1,
10151706,Semillas o plántulas de guar,Opcional,Opcional,,43472,,1,
10151800,Semillas y plántulas de especias,Opcional,Opcional,,43472,,1,Semillas y vástagos de especias
10151801,Semillas o plántulas de pimienta,Opcional,Opcional,,43472,,1,
10151802,Semillas o plántulas de vainilla,Opcional,Opcional,,43472,,1,
10151803,Semillas o plántulas de canela,Opcional,Opcional,,43472,,1,
10151804,Semillas o plántulas de clavo de olor,Opcional,Opcional,,43472,,1,
10151805,Semillas o plántulas de cilantro,Opcional,Opcional,,43472,,1,
10151806,Semillas o plántulas de jengibre,Opcional,Opcional,,43472,,1,
10151807,Semillas o plántulas de azafrán,Opcional,Opcional,,43472,,1,
10151808,Semillas o plántulas de tomillo,Opcional,Opcional,,43472,,1,
10151809,Semillas o plántulas de curry,Opcional,Opcional,,43472,,1,Semillas o vástagos de curri
10151810,Semillas o plántulas de mostaza,Opcional,Opcional,,43472,,1,
10151811,Semillas o plántulas de ginseng,Opcional,Opcional,,43472,,1,
10151812,Semillas o plántulas de champiñones,Opcional,Opcional,,43472,,1,
10151813,Semillas o plántulas de sacha inchi,Opcional,Opcional,,43472,,1,
10151814,Semillas o plántulas de achiote,Opcional,Opcional,,43472,,1,
10151815,Semillas o plántulas de kudzu,Opcional,Opcional,,43472,,1,
10151816,Semillas o plántulas de albahaca,Opcional,Opcional,,43472,,1,
10151817,Semillas o plántulas de anís,Opcional,Opcional,,43472,,1,Semillas o vástago de badiana
10151900,"Semillas, bulbos, plántulas y esquejes de flores",Opcional,Opcional,,43472,,1,"Semillas, bulbos, vástagos y codos de flores"
10151901,"Semillas, bulbos, plántulas o esquejes de tulipán",Opcional,Opcional,,43472,,1,
10151902,"Semillas, plántulas o esquejes de rosa",Opcional,Opcional,,43472,,1,
10151903,"Semillas, bulbos, plántulas o esquejes de narciso",Opcional,Opcional,,43472,,1,
10151904,Semillas de girasol,Opcional,Opcional,,43472,,1,"Semillas de acahual, Semillas de mirasol"
10151905,Bulbos o tallos de jacinto,Opcional,Opcional,,43472,,1,
10151906,Bulbos de lirio,Opcional,Opcional,,43472,,1,
10151907,Semillas o plántulas de veza,Opcional,Opcional,,43472,,1,
10152000,Semillas y esquejes de árboles y arbustos,Opcional,Opcional,,43472,,1,
10152001,Semillas o esquejes de árboles frutales,Opcional,Opcional,,43472,,1,
10152002,Semillas o esquejes de coníferas,Opcional,Opcional,,43472,,1,
10152003,Semillas o esquejes de árboles de frutos secos,Opcional,Opcional,,43472,,1,
10152004,Plántulas de latifoliados,Opcional,Opcional,,43472,,1,
10152005,Plántulas de coníferas,Opcional,Opcional,,43472,,1,
10152006,Semillas o yemas de pino,Opcional,Opcional,,43472,,1,
10152007,Semillas o yemas de algarrobo,Opcional,Opcional,,43472,,1,
10152100,Residuos que no sean de piensos,Opcional,Opcional,,43472,,1,Residuos que no sean alimento
10152101,Extracción de los residuos de semilla de babool,Opcional,Opcional,,43472,,1,
10152102,Residuos de semilla de colza,Opcional,Opcional,,43472,,1,
10152103,Residuo de semillas de linaza,Opcional,Opcional,,43472,,1,
10152104,Torta de neem,Opcional,Opcional,,43472,,1,
10152200,Semillas de cultivos fibrosos y semilleros,Opcional,Opcional,,43472,,1,
10152201,Semillas o plántulas de algodón,Opcional,Opcional,,43472,,1,
10152202,Semillas o plántulas de lino,Opcional,Opcional,,43472,,1,Semillas o vástago de linaza
10152300,Plántulas y semillas de leguminosas,Opcional,Opcional,,43472,,1,
10152400,Plántulas y semillas de tubérculos,Opcional,Opcional,,43472,,1,
10161500,Árboles y arbustos,Opcional,Opcional,,43472,,1,
10161501,Aceitunos,Opcional,Opcional,,43472,,1,
10161502,Cafetos,Opcional,Opcional,,43472,,1,
10161503,Cacaoteros,Opcional,Opcional,,43472,,1,Cocoa
10161504,Manzanos,Opcional,Opcional,,43472,,1,
10161505,Peros,Opcional,Opcional,,43472,,1,
10161506,Naranjos,Opcional,Opcional,,43472,,1,
10161507,Rododendros,Opcional,Opcional,,43472,,1,Azaleas
10161508,Plantas de te,Opcional,Opcional,,43472,,1,
10161509,Coníferas,Opcional,Opcional,,43472,,1,
10161510,Abetos rojos (píceas),Opcional,Opcional,,43472,,1,Abetos falsos
10161511,Pinos,Opcional,Opcional,,43472,,1,
10161512,Abetos,Opcional,Opcional,,43472,,1,
10161513,Palmeras,Opcional,Opcional,,43472,,1,
10161514,Casuarina,Opcional,Opcional,,43472,,1,Roble hembra
10161515,Ciprés,Opcional,Opcional,,43472,,1,
10161516,Eucalipto,Opcional,Opcional,,43472,,1,
10161517,Árbol de quinua,Opcional,Opcional,,43472,,1,Árbol de quina
10161518,Magnolio,Opcional,Opcional,,43472,,1,
10161519,Mioporo,Opcional,Opcional,,43472,,1,Siempreverde
10161520,Acalifa,Opcional,Opcional,,43472,,1,Cola de zorro roja
10161521,Tecomaria capensis o madreselva del cabo,Opcional,Opcional,,43472,,1,Bignonia roja
10161522,Arbusto croton bolaina,Opcional,Opcional,,43472,,1,Croton variegado
10161523,Abutillón,Opcional,Opcional,,43472,,1,Malva
10161524,Ficus,Opcional,Opcional,,43472,,1,Higuera
10161525,Lúcumo,Opcional,Opcional,,43472,,1,
10161526,Aguacatal,Opcional,Opcional,,43472,,1,
10161527,Guanábano,Opcional,Opcional,,43472,,1,
10161528,Carambolo,Opcional,Opcional,,43472,,1,Membrillo torombolo
10161529,Ciruelo,Opcional,Opcional,,43472,,1,
10161530,Árbol de quince,Opcional,Opcional,,43472,,1,Árbol de membrillo
10161600,Plantas florales,Opcional,Opcional,,43472,,1,"Agave, Caña de azúcar, Mague"
10161602,Poinsettias,Opcional,Opcional,,43472,,1,Nochebuena
10161604,Azaleas,Opcional,Opcional,,43472,,1,
10161605,Cactos,Opcional,Opcional,,43472,,1,"Cactus, Nopal"
